Lat,Long
38.89700148,-76.93370092
38.87951507,-77.0181253
38.87008373,-76.98307725
38.83938233,-77.00097526
38.83938233,-77.00097526
38.93431802,-77.04055344
38.94823061,-77.01777708
38.86434951,-76.95560475
38.92383242,-77.02397697
38.88480087,-77.00145985
38.96053539,-77.03068885
38.90259855,-76.97066706
38.93441376,-77.02118567
38.90056543,-76.92445918
38.8835985,-76.9261155
38.89852997,-77.0025627
38.9221722,-77.02847079
38.91350276,-77.00677595
38.91514495,-77.02270718
38.92954443,-77.03585831
38.96728422,-77.01957825
38.95289641,-77.07519907
38.89599364,-76.91992701
38.90852322,-77.01469386
38.89040233,-76.97968429
38.93272674,-77.06582114
38.91344604,-77.07030757
38.89243116,-76.97897792
38.85173304,-76.97080478
38.91390096,-77.02861256
38.92394275,-77.03881058
38.9155087,-77.0686139
38.83773754,-76.99717875
38.94072231,-77.07195522
38.82898558,-76.99918485
38.90541499,-76.92994765
38.90801923,-77.06453782
38.88343057,-76.97637892
38.90275767,-76.99658902
38.94755009,-77.08099483
38.8798706,-77.02291066
38.85133657,-76.98370368
38.89331503,-76.93245507
38.86604236,-76.98362116
38.9268015,-77.10052732
38.88308276,-76.95757271
38.84244285,-76.99823899
38.87128607,-76.98017131
38.96662722,-77.06803712
38.91516256,-77.00589039
38.95997181,-76.99988254
38.82819645,-77.01289191
38.89874381,-76.99649249
38.93227605,-76.99231633
38.84164506,-76.98339858
38.93429197,-77.08782619
38.91916731,-77.04052995
38.89218486,-76.9886575
38.89737568,-76.98290432
38.85665719,-76.98294365
38.95293319,-77.07007921
38.88595408,-76.93079651
38.87179682,-76.97448402
38.9173092,-77.04437725
38.82696603,-77.00848471
38.88513231,-76.98419491
38.89289599,-76.99985799
38.90199169,-76.97189763
38.88723986,-76.93993468
38.94153401,-77.03122742
38.8700914,-76.96435628
38.93581087,-77.02643266
38.94360818,-77.02777634
38.94360818,-77.02777634
38.91239081,-77.03966215
38.86285165,-76.99360426
38.89756466,-76.99318302
38.89812379,-77.04818647
38.90746917,-77.052321
38.91061836,-77.02488247
38.98460295,-77.03399523
38.8359802,-77.000195
38.8935537,-76.93846864
38.88389408,-76.95315885
38.85927177,-76.96849023
38.92304431,-77.0790738
38.89629737,-77.00000438
